tconst,averageRating,numVotes
tt0035423,6.4,87153
tt0062336,6.4,175
tt0069049,6.7,7754
tt0088751,5.2,336
tt0096056,5.6,846
tt0100275,6.5,347
tt0103340,6.3,354
tt0108549,7.7,33
tt0113026,5.6,1406
tt0113092,3.4,837
tt0114447,4.1,159
tt0115937,7.7,13
tt0116391,6.2,262
tt0116628,6.3,62
tt0116916,4.1,188
tt0116991,7.4,72
tt0117743,6.7,63
tt0118141,5.3,934
tt0118589,2.4,23873
tt0118652,4.9,1877
tt0118694,8.1,158143
tt0118710,6.3,156
tt0118852,7.1,4500
tt0118926,6.9,6761
tt0119004,5.6,4608
tt0119231,4.4,188
tt0119273,5.4,9033
tt0119495,5.0,152
tt0119806,6.0,44
tt0119830,7.3,29
tt0119966,6.7,8
tt0119970,5.9,125
tt0119980,6.5,75
tt0120166,4.2,650
tt0120202,6.7,21780
tt0120263,7.5,19775
tt0120467,5.2,4216
tt0120589,7.1,190
tt0120607,4.9,79
tt0120624,6.6,170
tt0120626,7.0,3252
tt0120630,7.1,200489
tt0120667,5.7,337219
tt0120673,6.6,35
tt0120679,7.3,92825
tt0120681,6.7,160185
tt0120698,4.4,364
tt0120733,5.6,358
tt0120737,8.8,1927480
tt0120753,5.7,22056
tt0120755,6.1,360362
tt0120804,6.6,279972
tt0120807,4.8,324
tt0120824,6.7,33515
tt0120903,7.3,630315
tt0120912,6.2,389517
tt0120913,6.6,62743
tt0120917,7.4,214829
tt0121164,7.3,285807
tt0121765,6.6,733687
tt0121766,7.6,816713
tt0122161,4.8,433
tt0122247,5.2,786
tt0122459,6.9,21950
tt0123003,6.0,1573
tt0123055,3.8,141
tt0123581,5.1,74
tt0124889,5.4,112
tt0125022,6.2,56540
tt0126029,7.9,704584
tt0126899,2.8,111
tt0127349,6.5,7413
tt0128158,4.8,104
tt0128165,3.9,75
tt0128216,3.3,294
tt0130623,6.4,64486
tt0131597,5.2,24
tt0131704,4.3,20824
tt0132078,6.0,239
tt0132245,4.6,42328
tt0132885,4.5,393
tt0132910,4.9,11914
tt0133063,7.8,333
tt0133152,5.7,224223
tt0133240,7.2,126239
tt0133752,6.5,106
tt0134084,5.6,156281
tt0134630,6.1,9840
tt0134847,7.0,248048
tt0134983,4.8,18713
tt0135707,6.3,401
tt0135991,4.1,163
tt0136517,3.2,124
tt0137204,8.6,290
tt0138288,6.4,81
tt0138353,5.7,648
tt0138524,6.3,99998
tt0138583,6.2,9
tt0138749,6.9,102377
tt0138818,6.5,106
tt0138927,6.5,443
tt0138946,6.4,22257
tt0139159,7.7,9
tt0139388,5.6,2379
tt0139500,7.0,1658
tt0139654,7.7,453018
tt0140806,6.8,107
tt0141120,4.0,377
tt0141907,4.5,5129
tt0141926,6.6,84398
tt0142634,3.2,713
tt0142650,4.6,273
tt0143344,4.1,216
tt0143558,5.2,74
tt0144084,7.6,664341
tt0144142,5.1,3963
tt0144280,4.5,79
tt0144528,4.4,52301
tt0144574,6.6,90
tt0144608,4.5,681
tt0144964,4.6,20911
tt0145487,7.4,845771
tt0146063,6.2,352
tt0146272,4.6,136
tt0146309,7.3,60778
tt0146316,5.7,214451
tt0146803,7.5,498
tt0146882,7.4,185402
tt0146984,6.7,58384
tt0147447,6.5,15
tt0147486,4.1,130
tt0148415,4.1,69
tt0148421,6.6,345
tt0149253,5.9,235
tt0149367,6.3,6281
tt0149624,5.8,15381
tt0150021,4.5,2014
tt0151150,6.1,10635
tt0151299,5.2,19
tt0151309,5.9,149
tt0151685,7.4,20
tt0152083,5.9,85
tt0153012,4.1,117
tt0153100,7.2,46
tt0153464,6.0,2796
tt0153533,3.5,113
tt0154187,6.5,127
tt0155150,4.8,412
tt0156020,6.1,693
tt0156100,3.9,141
tt0156323,5.6,9352
tt0156376,6.7,114
tt0156741,4.9,654
tt0156757,5.9,2082
tt0156807,4.3,1167
tt0156812,7.0,21003
tt0156841,4.7,11530
tt0156942,5.4,188
tt0157007,3.7,364
tt0157122,7.4,3643
tt0157191,5.3,1598
tt0157202,4.8,73
tt0157262,3.5,12556
tt0157472,5.2,14812
tt0157583,6.4,21571
tt0157836,2.8,938
tt0158033,5.9,1798
